Data,bola 1,bola 2,bola 3,bola 4,bola 5,bola 6
31/12/2021,46,32,15,12,23,33
18/12/2021,47,38,2,34,51,8
15/12/2021,37,11,55,25,4,19
11/12/2021,41,19,55,1,46,48
09/12/2021,38,54,32,15,5,28
07/12/2021,32,30,36,33,22,5
04/12/2021,28,14,40,2,51,1
01/12/2021,8,53,9,57,32,52
27/11/2021,52,44,29,38,7,40
24/11/2021,11,36,26,25,8,22
20/11/2021,26,19,46,56,45,39
17/11/2021,60,11,56,37,53,55
13/11/2021,25,3,28,29,9,39
10/11/2021,56,3,19,25,37,44
06/11/2021,57,27,24,11,32,5
03/11/2021,46,38,31,10,54,49
30/10/2021,17,3,38,53,16,37
27/10/2021,51,18,48,60,38,16
23/10/2021,7,30,2,46,10,20
21/10/2021,32,48,35,57,2,3
19/10/2021,8,44,60,5,39,29
16/10/2021,10,53,43,48,35,50
13/10/2021,19,57,27,11,60,2
09/10/2021,3,11,27,46,7,10
06/10/2021,6,37,57,26,11,7
02/10/2021,29,12,60,26,35,10
30/09/2021,4,14,29,6,5,38
28/09/2021,48,37,22,3,40,41
25/09/2021,16,60,36,34,9,49
22/09/2021,7,26,43,44,34,29
18/09/2021,10,59,35,43,7,27
15/09/2021,58,39,49,2,52,29
11/09/2021,29,38,57,4,30,43
08/09/2021,17,43,31,13,55,54
04/09/2021,29,43,12,8,54,60
01/09/2021,21,38,59,53,49,48
28/08/2021,19,35,1,40,47,54
25/08/2021,32,12,14,34,33,10
21/08/2021,60,29,6,30,25,22
18/08/2021,8,38,13,33,11,48
14/08/2021,9,26,36,25,21,53
12/08/2021,52,42,35,27,51,44
10/08/2021,36,59,17,30,8,54
07/08/2021,6,14,48,46,20,39
04/08/2021,3,25,2,49,42,39
31/07/2021,44,11,4,45,57,12
28/07/2021,42,44,5,25,36,16
24/07/2021,32,28,38,51,27,26
21/07/2021,53,34,25,15,23,11
17/07/2021,5,8,13,27,50,36
14/07/2021,20,13,9,56,32,22
10/07/2021,39,30,16,51,37,40
07/07/2021,8,37,45,48,33,30
03/07/2021,38,26,30,8,31,48
01/07/2021,35,13,11,50,49,16
29/06/2021,32,12,43,37,24,60
26/06/2021,25,26,9,13,22,31
23/06/2021,41,16,40,20,15,13
19/06/2021,53,6,19,9,38,55
16/06/2021,47,41,32,7,23,42
12/06/2021,53,39,11,16,20,24
09/06/2021,26,32,56,2,8,46
05/06/2021,37,49,41,54,11,38
02/06/2021,35,5,44,18,43,29
29/05/2021,22,12,17,18,19,14
26/05/2021,58,6,46,53,44,2
22/05/2021,25,37,39,13,41,12
19/05/2021,44,26,23,49,60,24
15/05/2021,19,25,44,46,3,57
12/05/2021,30,48,36,4,39,15
08/05/2021,56,31,37,7,44,42
06/05/2021,60,9,19,4,17,37
04/05/2021,13,7,36,25,58,4
30/04/2021,29,5,23,34,53,60
28/04/2021,33,41,38,27,4,35
24/04/2021,44,50,17,28,37,1
22/04/2021,42,56,33,20,51,44
17/04/2021,34,6,58,39,14,24
14/04/2021,35,22,32,20,50,3
10/04/2021,46,21,35,29,14,22
08/04/2021,15,21,24,45,29,10
06/04/2021,39,42,43,51,31,32
03/04/2021,5,43,16,11,9,57
31/03/2021,28,34,51,19,40,30
27/03/2021,51,36,3,58,10,25
24/03/2021,31,7,30,41,56,50
20/03/2021,18,54,25,6,30,42
17/03/2021,19,3,34,53,48,41
13/03/2021,17,55,9,41,38,49
10/03/2021,35,49,19,22,47,41
06/03/2021,45,28,34,29,25,41
03/03/2021,54,25,5,10,49,32
27/02/2021,2,3,51,48,54,7
24/02/2021,17,58,9,60,30,8
20/02/2021,4,58,3,40,11,42
17/02/2021,16,22,7,55,19,28
13/02/2021,38,11,52,57,17,25
10/02/2021,56,49,31,4,45,42
06/02/2021,20,24,17,27,40,60
03/02/2021,9,46,4,32,31,42
30/01/2021,49,41,16,51,28,21
28/01/2021,4,48,59,29,47,18
26/01/2021,21,8,34,47,42,23
23/01/2021,2,51,49,9,34,55
20/01/2021,20,27,50,8,10,28
16/01/2021,18,42,49,47,9,23
13/01/2021,22,4,20,25,13,60
09/01/2021,41,53,55,9,16,31
06/01/2021,12,33,44,52,35,36
02/01/2021,53,16,11,57,13,36
